Region,SPI,Year,Month,Values
Assam Meghalaya,2,1896,5,0.122300705
Assam Meghalaya,2,1896,6,-1.994330737
Assam Meghalaya,2,1896,7,-2.077580822
Assam Meghalaya,2,1896,8,-0.85821174
Assam Meghalaya,2,1896,9,-0.79023144
Assam Meghalaya,2,1896,10,-1.404358753
Assam Meghalaya,2,1896,11,-2.024634203
Assam Meghalaya,2,1896,12,-1.09016569
Assam Meghalaya,2,1897,1,-0.754582896
Assam Meghalaya,2,1897,2,-0.950986956
Assam Meghalaya,2,1897,3,1.103804161
Assam Meghalaya,2,1897,4,-0.279676533
Assam Meghalaya,2,1897,5,-0.583623642
Assam Meghalaya,2,1897,6,-0.267815706
Assam Meghalaya,2,1897,7,-1.055943354
Assam Meghalaya,2,1897,8,-0.52863345
Assam Meghalaya,2,1897,9,1.785421472
Assam Meghalaya,2,1897,10,1.913948579
Assam Meghalaya,2,1897,11,0.238119678
Assam Meghalaya,2,1897,12,-0.460871731
Assam Meghalaya,2,1898,1,-0.572734606
Assam Meghalaya,2,1898,2,0.42408564
Assam Meghalaya,2,1898,3,-0.843388913
Assam Meghalaya,2,1898,4,-0.999767017
Assam Meghalaya,2,1898,5,-1.101391374
Assam Meghalaya,2,1898,6,-1.098546574
Assam Meghalaya,2,1898,7,-0.959315234
Assam Meghalaya,2,1898,8,0.05096344
Assam Meghalaya,2,1898,9,0.771124773
Assam Meghalaya,2,1898,10,0.553502249
Assam Meghalaya,2,1898,11,0.490298493
Assam Meghalaya,2,1898,12,-0.559277313
Assam Meghalaya,2,1899,1,0.627948017
Assam Meghalaya,2,1899,2,0.779522829
Assam Meghalaya,2,1899,3,0.800885553
Assam Meghalaya,2,1899,4,0.383116918
Assam Meghalaya,2,1899,5,0.125858833
Assam Meghalaya,2,1899,6,0.481838065
Assam Meghalaya,2,1899,7,0.155044215
Assam Meghalaya,2,1899,8,0.241378874
Assam Meghalaya,2,1899,9,1.304033842
Assam Meghalaya,2,1899,10,0.793708393
Assam Meghalaya,2,1899,11,-0.160214719
Assam Meghalaya,2,1899,12,-0.559277313
Assam Meghalaya,2,1900,1,-0.273898088
Assam Meghalaya,2,1900,2,-0.06943088
Assam Meghalaya,2,1900,3,0.493341511
Assam Meghalaya,2,1900,4,0.962767652
Assam Meghalaya,2,1900,5,0.210743923
Assam Meghalaya,2,1900,6,-0.759592496
Assam Meghalaya,2,1900,7,-0.245572288
Assam Meghalaya,2,1900,8,-1.125667254
Assam Meghalaya,2,1900,9,-2.845554829
Assam Meghalaya,2,1900,10,-1.914326397
Assam Meghalaya,2,1900,11,-0.964791386
Assam Meghalaya,2,1900,12,-0.71784806
Assam Meghalaya,2,1901,1,0.228102464
Assam Meghalaya,2,1901,2,-0.305996512
Assam Meghalaya,2,1901,3,-1.855344819
Assam Meghalaya,2,1901,4,-0.489941663
Assam Meghalaya,2,1901,5,-1.252639909
Assam Meghalaya,2,1901,6,-1.034908959
Assam Meghalaya,2,1901,7,-0.401106728
Assam Meghalaya,2,1901,8,-0.279018479
Assam Meghalaya,2,1901,9,0.564822581
Assam Meghalaya,2,1901,10,0.47845261
Assam Meghalaya,2,1901,11,1.151388608
Assam Meghalaya,2,1901,12,1.940042659
Assam Meghalaya,2,1902,1,-1.070963434
Assam Meghalaya,2,1902,2,-1.400729919
Assam Meghalaya,2,1902,3,-0.075800804
Assam Meghalaya,2,1902,4,1.453739249
